day,url,qr_file
01,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day01.jpg&audio=day01.mp3&day=01,output_qr\qr_day_01.png
02,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day02.jpg&audio=day02.mp3&day=02,output_qr\qr_day_02.png
03,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day03.jpg&audio=day03.mp3&day=03,output_qr\qr_day_03.png
04,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day04.jpg&audio=day04.mp3&day=04,output_qr\qr_day_04.png
05,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day05.jpg&audio=day05.mp3&day=05,output_qr\qr_day_05.png
06,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day06.jpg&audio=day06.mp3&day=06,output_qr\qr_day_06.png
07,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day07.jpg&audio=day07.mp3&day=07,output_qr\qr_day_07.png
08,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day08.jpg&audio=day08.mp3&day=08,output_qr\qr_day_08.png
09,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day09.jpg&audio=day09.mp3&day=09,output_qr\qr_day_09.png
10,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day10.jpg&audio=day10.mp3&day=10,output_qr\qr_day_10.png
11,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day11.jpg&audio=day11.mp3&day=11,output_qr\qr_day_11.png
12,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day12.jpg&audio=day12.mp3&day=12,output_qr\qr_day_12.png
13,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day13.jpg&audio=day13.mp3&day=13,output_qr\qr_day_13.png
14,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day14.jpg&audio=day14.mp3&day=14,output_qr\qr_day_14.png
15,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day15.jpg&audio=day15.mp3&day=15,output_qr\qr_day_15.png
16,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day16.jpg&audio=day16.mp3&day=16,output_qr\qr_day_16.png
17,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day17.jpg&audio=day17.mp3&day=17,output_qr\qr_day_17.png
18,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day18.jpg&audio=day18.mp3&day=18,output_qr\qr_day_18.png
19,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day19.jpg&audio=day19.mp3&day=19,output_qr\qr_day_19.png
20,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day20.jpg&audio=day20.mp3&day=20,output_qr\qr_day_20.png
21,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day21.jpg&audio=day21.mp3&day=21,output_qr\qr_day_21.png
22,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day22.jpg&audio=day22.mp3&day=22,output_qr\qr_day_22.png
23,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day23.jpg&audio=day23.mp3&day=23,output_qr\qr_day_23.png
24,https://anthoboutin2802.github.io/Calendrier_avent_qr_code/?img=day24.jpg&audio=day24.mp3&day=24,output_qr\qr_day_24.png
